run_id,model_id,batch_profile,parallelism,mode,total_input_blocks,total_batches,completed_batches,failed_batches,risk_heavy,risk_normal,risk_light,coverage_pct,missing_count,duplicate_count,extra_count,inferred_block_id_count,unreadable_count,empty_summary_count,empty_key_values_count,total_key_values,median_key_values,blocks_with_findings,total_findings,findings_per_100_blocks,elapsed_s,avg_batch_duration_s,median_batch_duration_s,p95_batch_duration_s,total_prompt_tokens,total_output_tokens,total_reasoning_tokens,total_cached_tokens,avg_prompt_tokens,median_prompt_tokens,avg_batch_size,median_batch_size,max_batch_size,avg_batch_kb,median_batch_kb,total_cost_usd,cost_per_valid_block,cost_per_finding,cost_sources_actual,cost_sources_estimated,retry_count,provider_errors,schema_errors,timeout_errors,strict_schema_enabled,response_healing_enabled,require_parameters_enabled,dry_run
C_b10_p2_subset,google/gemini-2.5-flash,b10,2,batch,60,9,9,0,11,36,13,86.67,8,0,0,0,0,0,0,8487,22.0,2,3,5.0,211.7102588280104,46.0,20.91,148.56,40132,87966,0,0,4459.1,4724.0,6.67,6.0,10,389.11,334.4,0.2319546,0.004461,0.077318,9,0,0,0,0,0,True,True,True,False
C_b10_p3_subset,google/gemini-2.5-flash,b10,3,batch,60,9,9,0,11,36,13,86.67,8,0,0,0,0,0,1,5914,20.0,2,5,8.33,134.18737336597405,42.96,20.28,133.59,40126,89516,0,11237,4458.4,4722.0,6.67,6.0,10,389.11,334.4,0.23279381000000002,0.004477,0.046559,9,0,0,0,0,0,True,True,True,False
C_b12_p2_subset,google/gemini-2.5-flash,b12,2,batch,60,9,9,0,11,36,13,86.67,8,0,0,0,0,0,1,5039,18.5,1,1,1.67,205.19236051908229,43.77,18.66,140.16,39788,85237,0,5450,4420.9,4722.0,6.67,6.0,12,389.11,334.4,0.22355740000000004,0.004299,0.223557,9,0,0,0,0,0,True,True,True,False
C_b12_p3_subset,google/gemini-2.5-flash,b12,3,batch,60,9,9,0,11,36,13,86.67,8,0,0,0,0,0,0,9420,21.0,2,5,8.33,132.10988844698295,40.5,22.03,119.07,39790,87502,0,5848,4421.1,4722.0,6.67,6.0,12,389.11,334.4,0.22911304000000005,0.004406,0.045823,9,0,0,0,0,0,True,True,True,False
