run_id,profile,parallelism,mode,total_batches,total_blocks,avg_batch_size,max_batch_size,max_heavy_in_batch,heavy_count,normal_count,light_count,elapsed_sec,avg_batch_sec,median_batch_sec,p95_batch_sec,success,failed,coverage_pct,missing_count,duplicate_count,extra_count,unreadable_pct,empty_summary,empty_kv,blocks_with_findings_pct,total_findings,findings_per_100_blocks
conservative_p1,conservative,1,dry_run,41,215,5.24,6,2,11,151,53,,,,,,,,,,,,,,,,
conservative_p2,conservative,2,dry_run,41,215,5.24,6,2,11,151,53,,,,,,,,,,,,,,,,
conservative_p3,conservative,3,dry_run,41,215,5.24,6,2,11,151,53,,,,,,,,,,,,,,,,
baseline_p1,baseline,1,dry_run,33,215,6.52,8,2,11,151,53,,,,,,,,,,,,,,,,
baseline_p2,baseline,2,dry_run,33,215,6.52,8,2,11,151,53,,,,,,,,,,,,,,,,
baseline_p3,baseline,3,dry_run,33,215,6.52,8,2,11,151,53,,,,,,,,,,,,,,,,
aggressive_p1,aggressive,1,dry_run,31,215,6.94,10,2,11,151,53,,,,,,,,,,,,,,,,
aggressive_p2,aggressive,2,dry_run,31,215,6.94,10,2,11,151,53,,,,,,,,,,,,,,,,
aggressive_p3,aggressive,3,dry_run,31,215,6.94,10,2,11,151,53,,,,,,,,,,,,,,,,
