profile_id,source,launched,hard_gate_passed,quality_gate_passed,survived,coverage_pct,missing_count,duplicate_count,extra_count,strict_success_count,strict_failure_count,retry_triggered_count,retry_recovered_count,blocks_with_findings,total_findings,total_key_values,elapsed_s,equivalent_count,likely_improved_count,likely_degraded_count,uncertain_count,total_findings_delta,blocks_with_findings_delta,total_kv_delta,hard_fail_reasons,manual_review_block_ids,estimated_cost_usd,actual_cost_usd,note
b4,executed,True,False,False,False,83.33,2,0,0,10,2,1,0,10,10,218,291.58339647599496,5,2,5,0,-18,-2,-110,"['findings_presence_collapse', 'kv_collapse', 'too_many_likely_degraded_blocks']","['3TFL-TNRF-7G6', '66M4-Y69W-VCG', '6P9T-Q7GT-N9J', '6PPA-4DDX-6FR', '7DJ9-EQQ3-QMK', '947C-9UJT-RYU', '9DH3-MEUR-DR4']",0.3036,0.413526,batches=5 elapsed=291.6s
b2,executed,True,True,False,False,100.0,0,0,0,12,0,0,0,12,20,258,466.9092095379019,6,1,2,3,-8,0,-70,"['kv_collapse', 'too_many_likely_degraded_blocks']","['3TFL-TNRF-7G6', '66NE-7DYY-GQN', '6PPA-4DDX-6FR', '6R7N-7LRD-AUR', '9DH3-MEUR-DR4', '9PPJ-YP6U-HV6']",0.3886,1.100544,batches=10 elapsed=466.9s
