run_id,model_id,batch_profile,parallelism,mode,total_input_blocks,total_batches,completed_batches,failed_batches,risk_heavy,risk_normal,risk_light,coverage_pct,missing_count,duplicate_count,extra_count,inferred_block_id_count,unreadable_count,empty_summary_count,empty_key_values_count,total_key_values,median_key_values,blocks_with_findings,total_findings,findings_per_100_blocks,elapsed_s,avg_batch_duration_s,median_batch_duration_s,p95_batch_duration_s,total_prompt_tokens,total_output_tokens,total_reasoning_tokens,total_cached_tokens,avg_prompt_tokens,median_prompt_tokens,avg_batch_size,median_batch_size,max_batch_size,avg_batch_kb,median_batch_kb,total_cost_usd,cost_per_valid_block,cost_per_finding,cost_sources_actual,cost_sources_estimated,retry_count,provider_errors,schema_errors,timeout_errors,strict_schema_enabled,response_healing_enabled,require_parameters_enabled,dry_run
phC_b12_p2,google/gemini-2.5-flash,b12,2,batch,215,24,24,0,11,151,53,100.0,0,0,0,0,0,0,215,0,0.0,0,0,0.0,0.00020479608792811632,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8.96,10.0,12,399.03,400.75,0.0,0.0,0.0,0,24,0,0,0,0,True,True,True,True
phC_b12_p3,google/gemini-2.5-flash,b12,3,batch,215,24,24,0,11,151,53,100.0,0,0,0,0,0,0,215,0,0.0,0,0,0.0,0.00019452092237770557,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8.96,10.0,12,399.03,400.75,0.0,0.0,0.0,0,24,0,0,0,0,True,True,True,True
phC_b12_p4,google/gemini-2.5-flash,b12,4,batch,215,24,24,0,11,151,53,100.0,0,0,0,0,0,0,215,0,0.0,0,0,0.0,0.00019955902826040983,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8.96,10.0,12,399.03,400.75,0.0,0.0,0.0,0,24,0,0,0,0,True,True,True,True
phC_b10_p2,google/gemini-2.5-flash,b10,2,batch,215,27,27,0,11,151,53,100.0,0,0,0,0,0,0,215,0,0.0,0,0,0.0,0.00019632303155958652,0.0,0.0,0.0,0,0,0,0,0.0,0.0,7.96,8.0,10,354.69,335.7,0.0,0.0,0.0,0,27,0,0,0,0,True,True,True,True
phC_b10_p3,google/gemini-2.5-flash,b10,3,batch,215,27,27,0,11,151,53,100.0,0,0,0,0,0,0,215,0,0.0,0,0,0.0,0.00020169292110949755,0.0,0.0,0.0,0,0,0,0,0.0,0.0,7.96,8.0,10,354.69,335.7,0.0,0.0,0.0,0,27,0,0,0,0,True,True,True,True
phC_b10_p4,google/gemini-2.5-flash,b10,4,batch,215,27,27,0,11,151,53,100.0,0,0,0,0,0,0,215,0,0.0,0,0,0.0,0.00020665896590799093,0.0,0.0,0.0,0,0,0,0,0.0,0.0,7.96,8.0,10,354.69,335.7,0.0,0.0,0.0,0,27,0,0,0,0,True,True,True,True
