run_id,profile,parallelism,mode,total_batches,total_blocks,avg_batch_size,max_batch_size,max_heavy_in_batch,heavy_count,normal_count,light_count,elapsed_sec,avg_batch_sec,median_batch_sec,p95_batch_sec,success,failed,coverage_pct,missing_count,duplicate_count,extra_count,unreadable_pct,empty_summary,empty_kv,blocks_with_findings_pct,total_findings,findings_per_100_blocks
baseline_p3,baseline,3,dry_run,33,215,6.52,8,2,11,151,53,,,,,,,,,,,,,,,,
aggressive_p3,aggressive,3,dry_run,31,215,6.94,10,2,11,151,53,,,,,,,,,,,,,,,,
baseline_p3_subset,baseline,3,dry_run,10,60,6,8,3,11,36,13,,,,,,,,,,,,,,,,
aggressive_p3_subset,aggressive,3,dry_run,9,60,6.67,10,3,11,36,13,,,,,,,,,,,,,,,,
